CityId,Name,District
208,Корюківка,Чернігівська область
209,Косів,Івано-Франківська область
210,Костопіль,Рівненська область
211,Костянтинівка,Донецька область
212,Краматорськ,Донецька область
213,Красилів,Хмельницька область
214,Красногорівка,Донецька область
215,Красноград,Харківська область
216,Красноперекопськ,АР Крим
217,Кременець,Тернопільська область
218,Кременчук,Полтавська область
219,Кремінна,Луганська область
220,Кривий Ріг,Дніпропетровська область
221,Кролевець,Сумська область
222,Кропивницький,Кіровоградська область
223,Куп'янськ,Харківська область
224,Курахове,Донецька область
225,Ладижин,Вінницька область
226,Ланівці,Тернопільська область
227,Лебедин,Сумська область
228,Лиман (місто),Донецька область
229,Липовець,Вінницька область
230,Лисичанськ,Луганська область
231,Лозова (місто),Харківська область
232,Лохвиця,Полтавська область
233,Лубни,Полтавська область
234,Луганськ,Луганська область
235,Лутугине,Луганська область
236,Луцьк,Волинська область
237,Львів,Львівська область
238,Любомль,Волинська область
239,Люботин,Харківська область
240,Макіївка,Донецька область
241,Мала Виска,Кіровоградська область
242,Малин,Житомирська область
243,Марганець (місто),Дніпропетровська область
244,Маріуполь,Донецька область
245,Мар'їнка,Донецька область
246,Мелітополь,Запорізька область
247,Мена (місто),Чернігівська область
248,Мерефа,Харківська область
249,Миколаїв (Львівська область),Львівська область
250,Миколаїв,Миколаївська область
251,Миколаївка (місто),Донецька область
252,Миргород,Полтавська область
253,Мирноград,Донецька область
254,Миронівка,Київська область
255,Міусинськ,Луганська область
256,Могилів-Подільський,Вінницька область
257,Молодогвардійськ,Луганська область
258,Молочанськ,Запорізька область
259,Монастириська,Тернопільська область
260,Монастирище,Черкаська область
261,Моршин,Львівська область
262,Моспине,Донецька область
263,Мостиська,Львівська область
264,Мукачево,Закарпатська область
265,Надвірна,Івано-Франківська область
266,Немирів,Вінницька область
267,Нетішин,Хмельницька область
268,Ніжин,Чернігівська область
269,Нікополь,Дніпропетровська область
270,Нова Каховка,Херсонська область
271,Нова Одеса,Миколаївська область
272,Новгород-Сіверський,Чернігівська область
273,Новий Буг,Миколаївська область
274,Новий Калинів,Львівська область
275,Новий Розділ,Львівська область
276,Новоазовськ,Донецька область
277,Нововолинськ,Волинська область
278,Новогродівка,Донецька область
279,Новодністровськ,Чернівецька область
280,Новодружеськ,Луганська область
281,Новомиргород,Кіровоградська область
282,Новомосковськ,Дніпропетровська область
283,Новоселиця,Чернівецька область
284,Новоукраїнка,Кіровоградська область
285,Новояворівськ,Львівська область
286,Носівка,Чернігівська область
287,Обухів,Київська область
288,Овруч,Житомирська область
289,Одеса,Одеська область
290,Олевськ,Житомирська область
291,Олександрівськ,Луганська область
292,Олександрія,Кіровоградська область
293,Олешки,Херсонська область
294,Оріхів,Запорізька область
295,Остер (місто),Чернігівська область
296,Острог,Рівненська область
297,Охтирка,Сумська область
298,Очаків,Миколаївська область
299,Павлоград,Дніпропетровська область
300,Первомайськ (Луганська область),Луганська область
301,Первомайськ (Миколаївська область),Миколаївська область
302,Первомайський (місто),Харківська область
303,Перевальськ,Луганська область
304,Перемишляни,Львівська область
305,Перечин,Закарпатська область
306,Перещепине,Дніпропетровська область
307,Переяслав,Київська область
308,Першотравенськ,Дніпропетровська область
309,Петрово-Красносілля,Луганська область
310,Пирятин,Полтавська область
311,Південне (місто),Харківська область
312,Підгайці,Тернопільська область
313,Підгородне,Дніпропетровська область
314,Погребище,Вінницька область
315,Подільськ,Одеська область
316,Покров,Дніпропетровська область
317,Покровськ,Донецька область
318,Пологи (місто),Запорізька область
319,Полонне,Хмельницька область
320,Полтава,Полтавська область
321,Помічна,Кіровоградська область
322,Попасна,Луганська область
323,Почаїв,Тернопільська область
324,Привілля,Луганська область
325,Прилуки,Чернігівська область
326,Приморськ (Україна),Запорізька область
327,Прип'ять (місто),Київська область
328,Пустомити,Львівська область
329,Путивль,Сумська область
330,П'ятихатки,Дніпропетровська область
331,Рава-Руська,Львівська область
332,Радехів,Львівська область
333,Радивилів,Рівненська область
334,Радомишль,Житомирська область
335,Рахів,Закарпатська область
336,Рені,Одеська область
337,Решетилівка,Полтавська область
338,Ржищів,Київська область
339,Рівне,Рівненська область
340,Ровеньки,Луганська область
341,Рогатин,Івано-Франківська область
342,Родинське,Донецька область
343,Рожище,Волинська область
344,Роздільна,Одеська область
345,Ромни,Сумська область
346,Рубіжне,Луганська область
347,Рудки,Львівська область
348,Саки (місто),АР Крим
349,Самбір,Львівська область
350,Сарни,Рівненська область
351,Свалява,Закарпатська область
352,Сватове,Луганська область
353,Світловодськ,Кіровоградська область
354,Світлодарськ,Донецька область
355,Святогірськ,Донецька область
356,Севастополь,Севастополь
357,Селидове,Донецька область
358,Семенівка,Чернігівська область
359,Середина-Буда,Сумська область
360,Сєвєродонецьк,Луганська область
361,Синельникове,Дніпропетровська область
362,Сіверськ,Донецька область
363,Сімферополь,АР Крим
364,Скадовськ,Херсонська область
365,Скалат,Тернопільська область
366,Сквира,Київська область
367,Сколе,Львівська область
368,Славута,Хмельницька область
369,Славутич,Київська область
370,Слов'янськ,Донецька область
371,Сміла,Черкаська область
372,Снігурівка,Миколаївська область
373,Сніжне,Донецька область
374,Сновськ,Чернігівська область
375,Снятин,Івано-Франківська область
376,Сокаль,Львівська область
377,Сокиряни,Чернівецька область
378,Соледар,Донецька область
379,Сорокине,Луганська область
380,Соснівка (місто),Львівська область
381,Старий Крим,АР Крим
382,Старий Самбір,Львівська область
383,Старобільськ,Луганська область
384,Старокостянтинів,Хмельницька область
385,Стебник,Львівська область
386,Сторожинець,Чернівецька область
387,Стрий,Львівська область
388,Судак (місто),АР Крим
389,Судова Вишня,Львівська область
390,Суми,Сумська область
391,Суходільськ,Луганська область
392,Таврійськ,Херсонська область
393,Тальне,Черкаська область
394,Тараща,Київська область
395,Татарбунари,Одеська область
396,Теплодар,Одеська область
397,Теребовля,Тернопільська область
398,Тернівка (місто),Дніпропетровська область
399,Тернопіль,Тернопільська область
400,Тетіїв,Київська область
401,Тисмениця (місто),Івано-Франківська область
402,Тлумач,Івано-Франківська область
403,Токмак,Запорізька область
404,Торецьк,Донецька область
405,Тростянець,Сумська область
406,Трускавець,Львівська область
407,Тульчин,Вінницька область
408,Турка,Львівська область
409,Тячів,Закарпатська область
410,Угнів,Львівська область
411,Ужгород,Закарпатська область
412,Узин,Київська область
413,Українка (місто),Київська область
414,Українськ,Донецька область
415,Умань,Черкаська область
416,Устилуг,Волинська область
417,Фастів,Київська область
418,Феодосія,АР Крим
419,Харків,Харківська область
420,Харцизьк,Донецька область
421,Херсон,Херсонська область
422,Хирів,Львівська область
423,Хмельницький,Хмельницька область
424,Хмільник,Вінницька область
425,Ходорів,Львівська область
426,Хорол (місто),Полтавська область
427,Хоростків,Тернопільська область
428,Хотин,Чернівецька область
429,Хрестівка,Донецька область
430,Христинівка,Черкаська область
431,Хрустальний,Луганська область
432,Хуст,Закарпатська область
433,Часів Яр,Донецька область
434,Червоноград,Львівська область
435,Черкаси,Черкаська область
436,Чернівці,Чернівецька область
437,Чернігів,Чернігівська область
438,Чигирин,Черкаська область
439,Чистякове,Донецька область
440,Чоп,Закарпатська область
441,Чорнобиль,Київська область
442,Чорноморськ,Одеська область
443,Чортків,Тернопільська область
444,Чугуїв,Харківська область
445,Чуднів,Житомирська область
446,Шаргород,Вінницька область
447,Шахтарськ,Донецька область
448,Шепетівка,Хмельницька область
449,Шостка,Сумська область
450,Шпола,Черкаська область
451,Шумськ,Тернопільська область
452,Щастя (місто),Луганська область
453,Щолкіне,АР Крим
454,Южне,Одеська область
455,Южноукраїнськ,Миколаївська область
456,Яворів,Львівська область
457,Яготин,Київська область
458,Ялта,АР Крим
459,Ямпіль,Вінницька область
460,Яремче,Івано-Франківська область
461,Ясинувата,Донецька область
